2022-11-01 21:15:04 status unpacked libgcrypt20:amd64 1.9.4-3ubuntu3
2022-11-01 21:15:04 install libgmp10:amd64 <none> 2:6.2.1+dfsg-3ubuntu1
2022-11-01 21:15:04 status half-installed libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2022-11-01 21:15:04 status unpacked libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2022-11-01 21:15:04 install libgpg-error0:amd64 <none> 1.43-3
2022-11-01 21:15:04 status half-installed libgpg-error0:amd64 1.43-3
2022-11-01 21:15:04 status unpacked libgpg-error0:amd64 1.43-3
2022-11-01 21:15:04 install libgssapi-krb5-2:amd64 <none> 1.19.2-2
2022-11-01 21:15:04 status half-installed libgssapi-krb5-2:amd64 1.19.2-2
2022-11-01 21:15:04 status unpacked libgssapi-krb5-2:amd64 1.19.2-2
2022-11-01 21:15:04 install libk5crypto3:amd64 <none> 1.19.2-2
2022-11-01 21:15:04 status half-installed libk5crypto3:amd64 1.19.2-2
2022-11-01 21:15:04 status unpacked libk5crypto3:amd64 1.19.2-2
2022-11-01 21:15:04 install libkeyutils1:amd64 <none> 1.6.1-2ubuntu3
2022-11-01 21:15:04 status half-installed libkeyutils1:amd64 1.6.1-2ubuntu3
2022-11-01 21:15:04 status unpacked libkeyutils1:amd64 1.6.1-2ubuntu3
2022-11-01 21:15:04 install libkrb5-3:amd64 <none> 1.19.2-2
2022-11-01 21:15:04 status half-installed libkrb5-3:amd64 1.19.2-2
2022-11-01 21:15:04 status unpacked libkrb5-3:amd64 1.19.2-2
2022-11-01 21:15:04 install libkrb5support0:amd64 <none> 1.19.2-2
2022-11-01 21:15:04 status half-installed libkrb5support0:amd64 1.19.2-2
2022-11-01 21:15:04 status unpacked libkrb5support0:amd64 1.19.2-2
2022-11-01 21:15:04 install liblz4-1:amd64 <none> 1.9.3-2build2
2022-11-01 21:15:04 status half-installed liblz4-1:amd64 1.9.3-2build2
2022-11-01 21:15:04 status unpacked liblz4-1:amd64 1.9.3-2build2
2022-11-01 21:15:04 install liblzma5:amd64 <none> 5.2.5-2ubuntu1
2022-11-01 21:15:04 status half-installed liblzma5:amd64 5.2.5-2ubuntu1
2022-11-01 21:15:04 status unpacked liblzma5:amd64 5.2.5-2ubuntu1
2022-11-01 21:15:04 install libmount1:amd64 <none> 2.37.2-4ubuntu3
2022-11-01 21:15:04 status half-installed libmount1:amd64 2.37.2-4ubuntu3
2022-11-01 21:15:04 status unpacked libmount1:amd64 2.37.2-4ubuntu3
2022-11-01 21:15:04 install libncurses6:amd64 <none> 6.3-2
2022-11-01 21:15:04 status half-installed libncurses6:amd64 6.3-2
2022-11-01 21:15:04 status unpacked libncurses6:amd64 6.3-2
2022-11-01 21:15:04 install libncursesw6:amd64 <none> 6.3-2
2022-11-01 21:15:04 status half-installed libncursesw6:amd64 6.3-2
2022-11-01 21:15:04 status unpacked libncursesw6:amd64 6.3-2
2022-11-01 21:15:05 install libnsl2:amd64 <none> 1.3.0-2build2
2022-11-01 21:15:05 status half-installed libnsl2:amd64 1.3.0-2build2
2022-11-01 21:15:05 status unpacked libnsl2:amd64 1.3.0-2build2
2022-11-01 21:15:05 install libpam-modules:amd64 <none> 1.4.0-11ubuntu2
2022-11-01 21:15:05 status half-installed libpam-modules:amd64 1.4.0-11ubuntu2
2022-11-01 21:15:05 status unpacked libpam-modules:amd64 1.4.0-11ubuntu2
2022-11-01 21:15:05 install libpam-modules-bin:amd64 <none> 1.4.0-11ubuntu2
2022-11-01 21:15:05 status half-installed libpam-modules-bin:amd64 1.4.0-11ubuntu2
2022-11-01 21:15:05 status unpacked libpam-modules-bin:amd64 1.4.0-11ubuntu2
2022-11-01 21:15:05 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2022-11-01 21:15:05 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2022-11-01 21:15:05 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2022-11-01 21:15:05 install libpam0g:amd64 <none> 1.4.0-11ubuntu2
2022-11-01 21:15:05 status half-installed libpam0g:amd64 1.4.0-11ubuntu2
2022-11-01 21:15:05 status unpacked libpam0g:amd64 1.4.0-11ubuntu2
2022-11-01 21:15:05 install libpcre2-8-0:amd64 <none> 10.39-3build1
2022-11-01 21:15:05 status half-installed libpcre2-8-0:amd64 10.39-3build1
2022-11-01 21:15:05 status unpacked libpcre2-8-0:amd64 10.39-3build1
2022-11-01 21:15:05 install libpcre3:amd64 <none> 2:8.39-13build5
2022-11-01 21:15:05 status half-installed libpcre3:amd64 2:8.39-13build5
2022-11-01 21:15:05 status unpacked libpcre3:amd64 2:8.39-13build5
2022-11-01 21:15:05 install libprocps8:amd64 <none> 2:3.3.17-6ubuntu2
2022-11-01 21:15:05 status half-installed libprocps8:amd64 2:3.3.17-6ubuntu2
2022-11-01 21:15:05 status unpacked libprocps8:amd64 2:3.3.17-6ubuntu2
2022-11-01 21:15:05 install libselinux1:amd64 <none> 3.3-1build2
2022-11-01 21:15:05 status half-installed libselinux1:amd64 3.3-1build2
2022-11-01 21:15:05 status unpacked libselinux1:amd64 3.3-1build2
2022-11-01 21:15:05 install libsemanage-common:all <none> 3.3-1build2
2022-11-01 21:15:05 status half-installed libsemanage-common:all 3.3-1build2
